"Model","Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","LogLookingTime","ItemCenter","ItemNovel",".fitted",".resid",".scresid",".fittedExp"
"Raw","SS2F18.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",7796.5,8.96143019402494,0.5,0,6932.81618412019,863.683815879808,0.659237333054105,Inf
"Raw","SS2F19.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",8667.5,9.06733567755918,-0.5,-1,8823.24080867725,-155.740808677254,-0.118874700987068,Inf
"Raw","SS2F19.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",7565,8.93128762622246,0.5,0,7299.89568095894,265.104319041064,0.2023502826526,Inf
"Raw","SS2F20.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",11800,9.37585481045376,-0.5,-1,10441.7814472627,1358.21855273731,1.03670852683403,Inf
"Raw","SS2F20.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",8537.5,9.05222350387904,0.5,0,8918.43631954438,-380.936319544377,-0.290763169047072,Inf
"Raw","SS2F21.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",8320,9.02641753381525,-0.5,-1,8627.08393469522,-307.083934695216,-0.234392714567674,Inf
"Raw","SS2F21.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",7415,8.91126025457203,0.5,0,7103.7388069769,311.261193023101,0.237581155278176,Inf
"Raw","SS2F22.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",5276,8.5709235138372,-0.5,-1,6397.72590055627,-1121.72590055627,-0.856197114620166,Inf
"Raw","SS2F22.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",6030,8.70450228972123,0.5,0,5677.05077967054,352.949220329457,0.269401022035472,Inf
"Raw","SS2F23.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",6991.5,8.8524504044809,-0.5,-1,7946.54772465905,-955.04772465905,-0.728974079828352,Inf
"Raw","SS2F23.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",7017.5,8.85616230823604,0.5,0,6423.20259694073,594.297403059269,0.453618590310941,Inf
"Raw","SS2F25.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",9338,9.14184737553088,-0.5,-1,9389.23717571487,-51.2371757148667,-0.0391085932727421,Inf
"Raw","SS2F25.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",8330,9.02761873516089,0.5,0,7865.89204799655,464.107952003452,0.354246870095961,Inf
"Raw","SS2F3.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",11133.5,9.31771386024451,-0.5,-1,9565.34332584667,1568.15667415333,1.19695125076154,Inf
"Raw","SS2F3.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",9431.5,9.15181042978578,0.5,0,9647.33821179354,-215.838211793543,-0.164746177360053,Inf
"Raw","SS2F3.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",8056.5,8.99423449801362,-0.5,-1,7984.92086782196,71.579132178038,0.0546353136781988,Inf
"Raw","SS2F3.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",7275,8.89219909203969,0.5,0,7264.24574693624,10.7542530637602,0.00820856542451272,Inf
